# 日常高频词组库（jieba 词频≥200 自动生成，86 全码规则，5239 词）
aaaw 葡萄牙人
awkf 荷叶
awlf 茶园
awmc 苗人凤
awmm 花山
awrr 花白
awsc 茶树
awsw 世代相传
awtg 共生
awth 工信处
awuf 芬兰
awuu 工作部门
awuy 东华门
awwh 七八个
awwy 黄依依
awyf 茶庄
axae 莼菜
axjg 药师
axjt 蒋红星
axym 范蠡庙
ayae 黄州菜
ayaf 芦苇
ayaw 芦花
aydi 燕京大学
ayet 黄永胜
ayge 蔡文静
ayte 蒋方舟
aytg 黄康生
aytk 范文程
aywg 节度使
baag 陈艺戈
bage 陆菲青
bata 陈东升
bbkf 子叶
bbpf 孙承宗
bbwf 陆承伟
bccq 陶驷驹
bctf 陈难先
bcwf 取舍
bcwy 聚集 取食
bdab 阳三蒸
bdbp 联邦院
bdcf 孙大圣
bdna 陈大民
bdnt 阮成发
bdqd 阮大铖
bdtg 陌生
bdtl 联邦德国
bdwx 卫春华
bdyy 陈友谅
bfaq 陵区
bfiy 出境游
bfjg 降雨量
bfnn 陆羽
bfww 孙夫人
bgaf 陕甘
bgjo 陈丕显
bgqr 卫铁
bgrg 隋开皇
bgtv 陈政委
bgut 陈再道
bgyp 孙玉亭
bhdh 陈贞慧
biet 聂海胜
bigu 孙少平
bigw 陈兴瑜
biid 孟尝湖
biih 孙婆婆
bimd 隔河岩
bipv 孙少安
bito 陈潭秋
bjtd 陈昌智
bjvt 孙晓群
bjww 聪明人
bjyt 阿昌族
bjyw 阳府
bkpn 职官
blit 孙四海
bllk 陈圆圆
blrl 孟加拉国
bmfc 出动
bmfn 出卖
bmjg 出师
bmkk 出品
bmsu 出栏
bmtd 聂凤智
bmtg 出征
bmth 出自 出息
bmud 出头
bmut 出产
bmyy 出言
bnfg 孙必干
bpai 辽东
bpam 陆冠英
bpbw 辽宁队
bpdi 陆军大学
bpgw 陈宜瑜
bpid 陈家湖
bpit 陈家洛
bpjt 隗福临
bpkh 陈富忠
bpqg 陈家铺
bprk 孙家拐
bpsy 陈宝柱
bptj 孔祥复
bqap 陆希荣
bqbq 隐隐
bqbu 陈锡联
bqdh 陈名夏
bqdx 孙金龙
bqkk 陶器
bqnd 隐居
brfm 陈近南
brqt 孤儿
brww 阿拉伯人
brwy 阿拉伯语
bsss 陈木森
bsxm 阿森纳
btdd 耶律大石
btft 孙行者
btgc 降到
btsp 陈秀榕
btst 陈币桥
btww 降价 陌生人
btyj 耶律齐
btyx 出生率
buas 联苯
bugf 取决于
buje 联盟
bulh 陈新甲
buru 联接
buut 子童阁
buyv 陈章良
bvtg 陈建生
bvwq 孙九爷
bwgy 联合政府
bwjf 队里
bwkh 陈佳贵
bwng 子公司
bwqq 陶伯钧
bwyt 孙传庭
bxxg 联络线
byfm 孟庆南
byia 陈文洪
bypy 陈永福
bytl 防务
caaf 巴基斯坦
casm 预警机
cbtf 预先
ccid 双湖
ccqt 双儿
ccst 双桥
ccvn 双刀
cdaw 马春花
cdcb 参预
cdoy 邓有米
cdtf 参赞
cdwc 马三俊
cdww 熊有伦
cefd 通城
cefg 勇士
ceip 熊掌
ceqt 熊猫
cete 驱逐舰
cetf 通行
ceth 通衢
ceut 甬道
ceym 通高
ceyt 通州
cfam 马士英
cflt 熊十力
cgwx 邰丽华
cisf 马湖村 双水村
ckdd 台大
ckfn 欢呼声 马蹄声
ckuh 台站
ckyn 驯鹿
clbg 桑国卫
cnaf 马鞭
cnai 巴东
cncf 又惊又喜
cnkh 马蹄
cnkk 马口
cnlq 巴蜀
cnsg 马丁
cnsw 马尾松
cpmw 邓家岭
cpse 马家棚
csaa 马林工
csfm 豫西南
cvgh 熊召政
cwcn 驸马
cwwk 难保
cybb 驴子
cylw 驻京办
dadi 石英砂
dahh 胡萝卜
dalf 百花园
damd 左岸
datg 有期徒刑
dauj 胡雅歆
davt 古墓群
dawf 秦基伟
dawg 大革命
dayx 成功率
dbce 原子能
dbgw 有限责任
dbid 顾源
dbjg 原子量
dbkh 古隆中
dbrh 太阳年
dcmm 大巴山
dcqt 大熊猫
dcut 大通道
ddap 大营
ddbb 大胡子
dddd 大大
dddg 大石 石灰石 大厨 硅灰石
dddn 大成
ddfd 大城
ddfg 大雨
ddfn 厉声 大块 大专
ddfw 大丈夫 大堆
ddgk 大豆
ddgt 大麦
ddhi 大叔
ddia 大江
ddid 大湖 秦克湖
ddif 大潮
ddii 大大小小
ddip 大堂
ddiy 大湾
ddjg 大师
ddjx 胡厚昆
ddkd 大顺
ddkh 大中
ddlg 古三国
ddmd 石灰岩
ddna 大殿
ddnt 大发
ddod 厌烦
ddpf 大宗 大寨
ddpy 大礼 大祸
ddqg 大鲵
ddqi 大乐
ddqy 大岛
ddrd 大振
ddrg 大捷
ddrq 厚厚的
ddsc 大权
ddte 大船
ddtf 大街 大选 大德
ddth 大牌
ddtk 大面积
dduc 大冶
ddug 万寿羹
dduq 大将
dduy 大门
ddvc 大妈
ddwg 大使 大侠 大便
ddwr 大件 大伯
ddwx 胡春华
ddyn 石寿永
ddyt 大旗
debe 辜胜阻
dedg 磷肥厂
deiw 胡涂
dekk 感受器
demq 胡风
detd 胡适
deud 有着
dewf 胡佳
dewt 有伤
deww 胡人
dfdg 砖石
dfeu 奔腾
dffa 破土动工
dffd 大都城
dffh 奔走
dfis 大专学校
dfjm 大元帅
dflg 厉无畏
dfmm 万震山
dfnt 破坏性
dfqf 在城镇
dfqr 三十多年
dfrh 三十年
dfud 磕头
dfuy 三十六
dfwq 压低
dgad 三项
dgal 夏玉莲
dgan 三世
dgbb 三子
dgbp 三院
dgck 古琴台
dgcy 三叉
dgdn 三万
dgdx 石龙
dgdy 三丈
dgee 古月
dgff 大理寺
dgfn 三声
dgft 古都 三者
dggd 三天
dggf 有赖于
dggg 三王
dggh 三下
dggl 太平天国
dgid 石湖
dgjf 古时
dgjg 硬是
dgkh 三路 三中
dgkk 石器 三品
dglf 石墨
dglh 三甲
dgll 古田
dgmm 古山
dgmq 三岁
dgng 感悟
dgnn 三局 古尸
dgnt 感性
dgpe 三家 石静宜
dgpv 石安
dgpw 石窟
dgqg 三鲜
dgqk 三名
dgqt 石狮
dgrh 胡青牛
dgrv 三招
dgsg 三杯
dgsh 古朴
dgsr 石板 石棉
dgss 石林
dgst 三枚
dgtd 古籍
dgtf 三千
dgtg 三重
dgtq 古称
dgts 三条
dguj 三间
dgul 石兽
dgum 三端
dgut 石首 三道
dguy 石门 三门
dgwa 三代
dgwg 布政使 三合
dgwr 三件
dgwx 石化 硬化
dgwy 古今
dgyf 古诗
dgyn 三户 石刻 威望 厂房
dgyo 万平方米
dgyu 威廉
dgyw 三座
dgyy 古文
dhde 存有
dhqt 有点儿
dhrt 在手
dhut 丰产
dhvf 在建
dhyn 存亡
dian 龚泽艺
diff 砂土
difq 万学远
diih 成清波
dikk 大沽口
dimm 大洪山
dipg 胡光宝
diqq 辜鸿铭
ditr 大湾特
diyh 大酒店
diyy 万学文
djbm 辈出
djcm 太晖观
djtg 胡贤生
djtr 克里特
djud 百头
djya 厚度
dkfy 大中城市
dkip 右掌 历史学家
dkpl 大顺军
dkww 三中全会
dkxe 万吨级
dlfm 秦置南
dlqd 成思危
dlxf 大团结
dmdf 三峡大坝
dmhh 原则上
dmlf 面团
dmnn 布局
dmuu 而立
dmwf 布什
dmww 大峡谷
dmya 大幅度
dnad 威尼斯
dnan 万世
dnck 万台
dndn 万万
dnem 万股
dnfb 奋发进取
dnfm 秦属南
dnga 盛开 成形
dnlg 万辆
dnmq 万岁
dnnt 万尾
dnpe 万家
dnqk 万名 盛名
dnqq 万多
dnqu 万镑
dnrd 成排
dnrh 万年
dnrt 万斤
dntf 盛行 成行
dntm 万向
dnud 万头
dnuq 成交
dnwh 万个
dnwv 万分
dnwx 成化
dnxg 万线
dnyi 盛京
dnyl 万亩
dnym 奉恒高
dnyn 万户
dnyy 三民主义 成方 万方
dobq 灰陶
dpiy 秦家洲
dpng 盛宣怀
dpog 非农业
dppt 胡宗宪
dpqc 灰褐色
dpsg 达西
dpud 牵头
dpyt 大家庭
dqam 秦钟英
dqqn 有色金属
dqsf 顾金标
dqtg 石象生
dqwj 万多公里
dqyp 龙乐豪
dqyw 确诊
drgm 有所不同
drtf 原告
druj 原意
drww 成年人
dryy 原文
dsdg 石榴石
dsfh 磷酸盐
dsgw 奇珍
dsqt 压根儿
dssc 大杨树
dsss 胡杨林
dstr 有机物
dtal 顾秀莲
dtdt 帮帮
dtel 三自爱国
dtfj 古长堤
dtfn 原种场
dtgu 胡德平
dtje 胡黎明
dtkh 夏赞忠
dtmw 石牌岭
dtou 三千粒
dtoy 万千米
dtrd 胡自皋
dufb 矿产地
dugf 有益于
dujg 成交量
dukk 大门口
duln 有意思
dumf 夏商周
dunt 有效性
dupf 大奖赛
dupg 夏斗寅
dupl 大将军
duwh 大半个
duyk 有意识
dvpw 原始社会
dwfa 石华堰
dwfq 百亿元
dwgd 奉天
dwgg 秦王
dwgo 泰来
dwhh 大体上
dwid 雁湖
dwip 大会堂
dwjf 万公里
dwkk 奢侈品
dwlg 秦国
dwnh 奏疏
dwod 古人类
dwog 耕作业
dwpv 秦安
dwpw 古华容
dwqi 龙合玺
dwrt 万公斤
dwsg 尤伯杯
dwuj 奏章
dwuq 万人次
dwwf 盛华仁
dwwg 夏佐全 三个代表
dwyq 春义
dwyt 布依族 泰州
dxdd 龙大
dxiq 戚继光
dxnt 非线性
dxte 龙船
dxuy 大红门
dxyp 龙亭
dydy 石膏矿
dyft 裴高才
dygy 左良玉 研讨班
dyjg 太师
dynf 太尉
dypf 太守 太宗
dytg 太重 石广生 胡康生
dywx 古文化
dyym 太庙
dyyv 太康
edim 腾龙洞
edlt 腓力
eeid 月湖
eesg 脂肪酸
eeuk 乳腺癌
efbb 脖子
efkh 脚踏
egfl 滕一雷
egjf 县里
egri 悬挑
egta 县长
eguk 肺癌
egwy 县令
egyw 县府
ejjg 用电量
elwf 爱国人士
emww 股价
epbm 逐出
epft 受害者
epww 受众
erqc 乳白色
esaw 采茶
esss 用材林
etdm 用布
etfb 腹地
etfp 胜过
etgc 乃至
etjg 乃是
etkh 腹中
etkk 用品
etwt 用作 胜任
ewjg 采伐量
eyaq 县市区
eyey 脏腑
eyft 受访者
faaq 示范区
faaw 载荷
fabb 老莱子
fajg 规划师
fakh 二七路
fakk 堰口
fant 地区性
fapy 元世祖
farh 十七年
fast 堰桥
faud 裁减
fawx 规范化
fbad 地基
fbaw 土耳其人
fbff 地坛
fbfn 袁承志
fbpu 地被
fbut 地道
fbyq 地底
fcbb 土台子
fcbc 去取
fcbw 支队
fcet 动用
fcey 动脉
fcjg 动量
fckh 去路
fclt 运力
fcmw 走马岭
fcng 坦桑尼亚
fcre 动摇
fcrh 去掉
fctf 支行
fcth 运算
fctm 动身 去向
fcwt 运作
fcxg 云母
fdai 城东
fdce 郝大通
fddy 韩太太
fdfg 城垣 二三十
fdfh 城址
fdfm 城南
fdft 元大都
fdfw 士大夫
fdgd 震天
fdgy 彭克玉
fdip 考古学家
fdje 赵大明
fdnm 十三届
fdrh 十三年
fdud 城头
fdwh 十三个
fdwq 老太爷
fdww 孝感人
ffad 无霜期 土匪
ffaf 土著
ffaj 二十七日
ffaq 赵志敬
ffar 二十七年
ffaw 土地革命
ffdn 二十万
ffdr 二十三年
ffdy 塔吉克族
ffel 封爵
fffb 远远地
fffn 土块
fffr 二十二年
fffy 土坑
ffgg 二十一 十二五 二十五
ffgr 二十五年 二十一年
ffgt 二十一条
ffjf 寺里
ffjg 需求量
fflr 二十四年
ffmq 二十岁
ffna 土地改革
ffot 运载火箭
ffqr 二十多年
ffrg 土丘
ffrh 二十年 十二年
ffur 二十六年
ffwh 十二个
ffwr 二十八年
ffyt 土族
fgag 二七
fgaq 赵一荻
fgdd 十五大
fgdi 南开大学
fgdj 二百
fgdm 干面
fgdx 二龙
fgee 二月 十一月
fgfa 十堰
fgfc 动不动
fgfg 二十 十二
fgft 二老
fggd 十天
fggg 十五 十一五 二环
fggk 坏事
fghk 二战
fgii 地下水 地表水
fgip 地理学
fgiy 干流
fgjf 十里
fgjj 十五日
fgkg 二号
fgkh 二路 南环路 二中
fgkk 二品
fgmh 干贝
fgmj 二则
fgmq 十岁
fgnm 十一届
fgnn 干尸
fgnt 地带性
fgqc 越王勾
fgqk 十名
fgrh 二年 十五年 十一年
fgrn 二氯
fgsh 朝天椒
fgsk 二哥
fgsy 二柱
fgtf 二千
fgtg 干重
fgtt 韦一笑
fguq 二次 十次
fgut 十道 十五道 二道
fguy 二门
fgwi 地球化学
fgwq 二爷
fgwt 十余
fgwu 二位 十倍
fgwv 二分
fgyt 士族
fhbm 超出
fhfc 赵云
fhfh 赶走 走走
fhfp 走过
fhgc 赶到 直至 起到
fhgo 赶来 走来
fhjf 越野
fhkf 真味
fhkh 赶路
fhlg 越国
fhny 赶忙
fhpe 赵家
fhpu 起初
fhrv 走势 真挚
fhtc 直径
fhtm 起身 趋向
fhtp 直管
fhtu 越冬
fhty 走入
fhud 趁着 赶着
fhuu 矗立
fhww 真人
fhya 盐度
fhye 袁紫衣
fhyw 都督府
fhyy 直言 走访
fibb 老婆子 南洲子
fieg 救助
fifi 求救
fiip 未尝
fiiy 南河洲
fimq 求见
fimw 老洲岭
fina 袁汉民
fipg 韦小宝
fitd 求知
fiud 南河头
fiwx 彭清华
fjbb 过日子
fjfp 堤垸
fjfy 南昌起义
fjgh 朝政
fjip 进深
fjkh 袁时中
fjkk 井口
fjng 进屋
fjqt 进犯
fjrg 进兵
fjtf 朝廷
fjud 二里头 埋头
fjuj 霎时间
fjww 城里人
fjwy 韩信
fkfh 彭真
fkoy 吉米
fkpw 云中鹤
fkqf 南口镇
fkqj 吉象
fkww 二中全会
fkxv 袁绍
fkyb 远距离
fkyd 嘉庆
fldd 十四大
flha 彭连虎
fljg 运输量
fllf 救国团
flnc 袁思怡
flrh 十四年
flrn 十四所
flwf 增加值
flxg 运输线
flym 直辖市
fmfj 南朝
fmgu 南平
fmia 南港
fmip 击沉
fmis 南湘
fmiu 南漳
fmkh 南路
fmkk 南口
fmmm 南山
fmmq 十几岁
fmpk 南岩宫
fmps 南宋
fmrh 十几年
fmtq 南移
fmup 献帝
fmwh 十几个
fmxf 南疆
fmyk 南襄
fnfn 专场
fngc 吉尼玛
fngf 无异于
fnpl 志军
fntk 专程
fouq 无数次
fpce 韦家能
fpfn 赵宏声
fpfw 韩宁夫
fphh 过上
fpiq 雷家沟
fpiy 赵家湾
fpnt 真实性
fpnx 地空导弹
fppk 坤宁宫
fppt 赵寄客
fpqt 过儿
fprd 袁宗皋
fprv 过招
fpti 超额利润
fpts 赵家条
fptx 袁宗第
fput 袁宏道 袁宗道
fpyt 土家族
fqdg 远古
fqfh 十多起
fqgk 无赖
fqhq 朝鲜战争
fqif 无尘
fqjf 赫鲁晓夫
fqjg 无量
fqld 无罪
fqny 无以 无心
fqpy 无礼
fqrh 十多年
fqri 赵钟泉
fqrn 元气
fqsk 无可
fqtd 无敌
fqth 无处 吉象牌
fquj 顽童
fquq 朝鲜半岛
fqww 朝鲜人
fqxx 无比
fqyl 无为
fqyy 无言
frid 南岳尖
frkh 南振中
frmm 南岳山
fryt 郝摇旗
fsdg 地板厂
fsga 彭桓武
fsqq 赵可铭
fssu 嘉木样
fstl 动植物园
fswy 干椒含
ftab 圪节
ftaq 老区
ftbb 孝子
ftcn 老马
ftdg 孝感 考研 地毯厂
ftdy 老太
ftfg 教士 老二
ftfi 袁行霈
ftha 老虎
ftif 教法
ftip 教堂
ftis 专科学校
ftjg 教师 考题
ftmm 老山
ftng 彭德怀
ftnn 教科书
ftnt 规律性
ftpn 教官
ftpu 老衲
ftpw 考究
ftrg 教皇
ftrn 雾气
ftsb 老李
ftsk 老哥
ftss 韩先楚
fttg 老先生
ftud 老头 考卷 教头
ftuq 老将
ftut 土特产
ftvv 老妇
ftwf 教会
ftwq 老爷 老爹
ftwr 老伯
ftwv 裘千仞
ftww 教众
ftwx 老化
ftxt 老张
ftxy 都统
ftyg 考证 韦香主
ftym 老高
fuee 吉新鹏
fufj 南北朝
fuga 城郊型
fugk 增速
fumm 赵半山
fuqt 老头儿
furh 十六年
fury 规章制度
futg 增生
fuud 增减
fuwf 增值
fuym 增高
fvgf 封建王朝
fvrh 十九年
fvvm 袁姗姗
fvyg 封建主
fwbb 老爷子
fwdy 十余丈
fwfd 夫人城
fwjj 十八日
fwmq 十八岁
fwpg 吉佩定
fwrh 十余年
fwtk 堆积
fwut 夫人道
fwwq 老佛爷
fwwy 零食
fxdh 彭红艳
fxsm 教练机
fybp 考试院
fybx 地主阶级
fyck 墩台
fyds 教育厅
fyfd 南京城
fyff 救亡运动
fygy 培训班
fyid 韩高湖
fyim 坑洞
fyjg 无论是
fynn 教育局
fyym 二郎庙
fyyv 戴证良
gaaa 型式 开幕式
gabf 武陵
gack 邢台
gafc 开去
gafn 刑场
gafq 开元
gafw 下功夫
gagw 曹燕珍
gaib 王若涵
gaip 弄堂
gaiu 王茂润
gajf 开时
gakh 邢世忠
gakk 开口
gamy 王英凡
gana 武英殿
gaog 开凿
gass 王茂林
gasw 武松
gaty 开往
gaub 武警部队
gaud 形状 开头
gauq 武将
gayd 青藏高原
gayn 开幕词
gays 武麻
gayu 型谱
gbbb 屯子
gbld 王承恩
gbmm 武陵山
gbqt 王聪儿
gbrm 一院制
gbwd 现阶段
gcgh 至正
gcwg 致命
gdbb 天子
gdfj 天井
gdfw 王大夫
gdgk 蚕豆
gdis 天河
gdje 天明
gdjt 天星 天监
gdkd 天顺
gdmm 王太岚
gdpg 天宝
gdpv 天安
gdpw 天空
gdpy 天神
gdrh 五百年 一百年 两三年
gdse 天棚
gdwg 天命
gdwh 两三个 一百个
gdyw 天鹰
gedy 表态
gefd 青城
gege 青青
gess 青木
gett 青竹
geuj 表彰
geww 一月份
geyt 青州
gfds 曹云奇
gfdt 于城邦
gfdx 于二龙 王云龙
gfga 球形
gfgk 一声不吭
gfmj 不规则
gfpf 柬埔寨
gfqt 玩儿
gfre 副教授
gfrr 开场白
gfth 不远处
gfwf 天地会
gfwr 环境保护
gfww 王夫人 邢夫人
gfwy 于今
ggab 一节
ggad 一期 王莽 五项
ggan 五世
ggaw 王瑞芬
ggbb 一下子
ggcc 一叠
ggck 琴台
ggdd 五大 一整套
ggdj 五百
ggdm 一页
ggdn 五万
ggdw 珊瑚礁
ggdy 五丈
ggee 五月
ggeg 五县
ggfc 一动
ggff 五卅运动
ggfg 一寸
ggfh 一起 不列颠
ggfm 王亚南
ggfn 一声 一块
ggga 一开
gggd 五天
ggge 王琦瑶
gggf 不至于
gggg 琵琶
gggj 五更
gggk 一副 一事 一束
gggm 一遭 一两
gggn 琉璃瓦
gggu 王平
gggw 王玉珍
gggy 一班
gghh 一目
ggiy 环流
ggjf 五里
ggjt 五星
ggkh 五中
ggkk 一口 一品
gglp 一连
ggmh 一幢
ggmt 五峰
ggnm 五届
ggnt 一发
ggny 一尺 五尺
ggpe 王家
ggpg 王室
ggpp 严严实实
ggqk 五名
ggqn 一包
ggqy 环岛
ggrg 五岳 一抹
ggrh 五年
ggrt 一斤
ggrx 五指
ggsa 五横
ggsf 一村
ggsv 一概
ggte 一盘
ggtf 五行 一千 五千
ggtk 五种
ggtm 一身
ggtt 开玩笑
ggua 一并
ggud 一卷 一着
gguh 一站
gguj 五间 一章
ggum 一瞥
gguq 五次
ggus 一尊
ggut 五道 王道
gguy 五门
ggwa 五代 下一代
ggwf 理事会
ggwh 五个 一两个
ggwk 五保
ggwq 不一会儿
ggwu 王位 五位
ggwv 五分 一盆
ggww 五谷
ggxe 一组
ggya 一席
ggyi 一应
ggyn 一遍 一记 一扇
ggyw 王府 五座
ggyy 一文
ghaa 政工
ghcn 下马
ghdm 正面
ghee 正月
ghft 焉耆
ghgk 政事 正副
ghgy 玻璃
ghhi 一步步
ghhk 一点点
ghip 政党 下沉
ghkh 正中
ghlp 下辖
ghmj 与此同时
ghmm 下山
ghnt 下发
ghpk 玉虚宫
ghqk 下锅
ghqt 一点儿
ghtf 正德 正午
ghtg 下垂
ghtm 正向
ghuj 一瞬间
ghwg 下颌
ghxg 政绩
ghym 下调
ghyu 正说
ghyy 下方 下文
giad 不期
giai 王学萍
giap 王尚荣
gibw 天津队 武汉队
gice 不通
gidr 还原
gied 不须
giet 不胜
gifg 不二
gifq 不均 不无
gifs 曹汝霖
gigc 不致
gigf 来源于
gigh 不正
giih 不小
giip 政治学
gilg 王兆国
ginb 不屈
ginn 政治局 不快
ginr 不愧
gint 刺激性
gipe 政治家
gipu 于汉初
giqk 不免
giqy 不留
gisg 不朽
gitd 不适
gitf 不等
gitk 政治委员
gitp 不乏
giuf 王小兰
giuh 武汉站
giuk 政治部
givb 还好
giwc 不公
giww 正常人 不俗
gixi 政治经济
gjad 一时期
gjai 王晓东
gjfy 武昌起义
gjhi 严晓频
gjip 更深
gjnt 理性
gjqg 武昌鱼
gjuh 武昌站
gjvt 王昭君
gkbb 两口子
gkfh 带走
gkgk 豌豆 事事
gkhh 带上
gkny 不足以
gkrg 带兵
gkrp 逼迫
gkud 带头 事关 带状
gkuk 吏部
gkuq 副将
gkwg 融合 事例
gkwh 整修
gkww 五中全会 一中全会
gkyo 事变
glff 玉田寺
glfq 武连元
gliq 王国光
glir 画派
gmaq 两匹
gmbj 枣阳
gmbw 两队
gmcf 两对
gmcw 责难
gmde 再有
gmdg 再三
gmdh 现存
gmdn 责成 两万
gmdp 两碗
gmfc 两支
gmff 整风运动
gmfn 两声 两块 两场
gmgd 珊瑚 武则天
gmgh 两下
gmgi 曹丕
gmgo 两晋
gmgq 两列
gmia 丽江
gmir 两派
gmis 两河
gmjj 两日
gmjm 曹禺
gmkh 两路
gmkk 两口
gmlk 两架
gmmh 两幅
gmoy 两米
gmqk 两名
gmrh 一周年
gmrt 棘手
gmst 两枚
gmte 两艘
gmtf 两行 再行 两千
gmth 两处 两片
gmtj 不见得
gmtm 现役
gmud 两头
gmuk 两部
gmuq 两次
gmwa 两代
gmwd 两段
gmwf 两会
gmwt 现任 刺伤
gmwu 两倍
gmww 两份
gmwy 现今
gmxe 两级 两组
gmxt 两张
gmyy 两方 两广
gndj 与非
gndn 王必成
gndv 平民百姓
gneu 恶性肿瘤
gnfq 王怀远
gnft 殖民者
gnga 开发型
gniy 天心洲
gnqq 王以铭
gnsv 不必要
gogu 亚平
golk 严加
goma 恶贼
gopf 严守
gosd 玉米棒
gotg 严惩
gotu 亚科
goww 恶人
gowx 来华
goys 亚麻
gpdd 王宋大
gpfk 王祥喜
gpfy 王家墩
gpiq 王家耀
gpjg 一定量
gpmm 王家岗
gptg 王宁生
gpun 下定决心
gpyk 王祖训
gqdh 残破
gqga 裂开
gqgq 王希烈
gqkk 青铜器
gqlg 殉国
gqnn 死尸
gqny 殆尽
gqtd 歼敌
gque 不久前
gqwf 列传
gqwt 死伤
gqyn 残废
grbb 珠子
grey 下丘脑
grkh 玉泉路
grwg 玉皇剑
gsdf 王梦奎
gsfg 不相干
gsfn 王树声
gsis 青木河
gskh 武林中
gslg 理想国
gspy 王梅祥
gtaw 王利芬
gtbj 王重阳
gtgf 不利于
gtgl 珞珈
gtia 于长江
gtic 严智泽
gtje 王利明
gtkd 王长顺
gtqt 珞狮
gtss 不自禁
gttc 不怎么
gttg 王冬生
gtts 不管怎样
gtut 再生产
gtya 一季度
gtyg 一般说来
gufy 武装起义
gugu 王立平
gukf 下半叶
guny 下决心
guqt 平儿 玩意儿
gurh 下半年
gutf 平行
gutq 平稳
guub 武装部队
guwv 一部分
guyp 王新亭
gvln 王九思
gvnx 玉女心经
gvpv 王建安
gwap 王作荣
gwet 副作用
gwfn 不做声
gwgj 不合理
gwiy 曹化淳
gwmj 两个凡是
gwnn 王佐书
gwqe 一个多月
gwqk 一分钟
gwqq 一个多
gwqt 王伊锋
gwtg 王任重
gwuk 更何况
gwww 现代人
gwwx 一体化
gwyy 武修文
gxbf 夷陵
gxfd 王维城
gxgo 亚细亚
gyaa 开放式
gyad 琼斯
gydo 平方厘米
