gggg 一一
gkrt 一只手吹笛顾此失彼
gkre 一只手遮脸
gkrd 一只手遮脸独当一面
gkta 一只筷子吃藕
gkth 一只筷子吃藕专挑眼尽挑眼
gktd 一只筷子吃面
gktr 一只筷子吃面独挑
gkeh 一只脚踩在门槛上
gkev 一只脚踩在门槛上不知进退
gkje 一只螃蟹八只脚
gkjb 一只螃蟹八只脚没错错不了
ggck 一台
gkrt 一叶报秋
gktt 一叶知秋
gkat 一叶落知天下秋
gkom 一叶迷山
gkbh 一叶障目
gkbm 一叶障目不见泰山
ggkg 一号
gkqh 一吊钱放在门槛上
gkqb 一吊钱放在门槛上里外半吊子
ggmg 一同
ggqk 一名
gkyn 一吐为快
ggtm 一向
gkgk 一吟一咏
ggkq 一吹
gkgk 一吹一唱
ggkm 一员
ggmf 一周
ggkf 一味
gkdy 一呵而就
gkgk 一呼再喏
gkdy 一呼百应
gkdy 一呼百诺
gwpa 一命之荣
gwkk 一命呜呼
gwjs 一命归西
gwjb 一命归阴
gwkk 一命鸣呼
gkrp 一品白衫
gkxa 一品红
gkdh 一哄而上
gkda 一哄而散
gkdf 一哄而起
ggkt 一响
gkgt 一唱一和
gkdk 一唱三叹
gkdt 一唱百和
gkgs 一喷一醒
gkgb 一嘴吞了个鞋帮子
gkgy 一嘴吞了个鞋帮子心里有底
gkhh 一噎止餐
gglk 一回
gglf 一团
glty 一团乱麻
gltr 一团和气
glil 一团漆黑
glog 一团糟
gldw 一国三公
glgr 一国两制
gglu 一圈
ggfn 一场
gfds 一场春梦
gfpw 一场空
gwgf 一坐一起
gwnw 一坐尽倾
gwnn 一坐尽惊
gwxn 一坐皆惊
gfqt 一块儿
gfdf 一块石头落了地
gfdf 一块石头落地
ggip 一堂
ggfw 一堆
gfts 一堆乱树枝
gfts 一堆乱树枝七枝八杈
gffw 一堆堆
gfem 一堆脑瓜骨
gfeh 一堆脑瓜骨没脸没皮
gftb 一塌刮子
gfoi 一塌糊涂
gfdi 一塌胡涂
gfrb 一塘的鸭子
gfrk 一塘的鸭子呱呱叫
gfpb 一墙之隔
ggth 一处
gugd 一夔一契
gunk 一夔已足
gqgf 一夕一朝
ggyw 一夜
gypu 一夜之间
gyng 一夜情
ggdd 一大
gduf 一大半
gdfw 一大堆
gdrx 一大批
gdrc 一大把
gdjh 一大早
gdvt 一大群
gggd 一天
gggf 一天一地
ggdd 一天三刮络腮胡
ggdu 一天三刮络腮胡你不叫我露面我不叫你露头
gggf 一天下了三场雨
gggu 一天下了三场雨缺少情晴意
gggj 一天到晚
gggq 一天到晚淡茶饭
gggt 一天到晚淡茶饭不吃香
ggfr 一天卖三根黄瓜
ggfm 一天卖三根黄瓜发不了大财
gfpc 一夫之勇
gfpe 一夫之用
gfiu 一夫当关
gfig 一夫当关万夫莫开
grkn 一失足成千古恨
ggud 一头
gurw 一头撞倒阎王爷
gurr 一头撞倒阎王爷冒失鬼
gufj 一头栽到煤堆里
gufb 一头栽到煤堆里霉煤到顶了
gurv 一头热
guqj 一头钻进风箱里
guqr 一头钻进风箱里两头受气
gufi 一头雾水
ggdd 一套
gvdv 一好百好
ggvk 一如
gvvt 一如既往
gbbg 一子出家七祖升天
gbbg 一子出家九祖升天
gbng 一子悟道九族生天
gbgd 一孔不达
gbpm 一孔之见
ggpb 一字
gpgq 一字一句
gpgs 一字一板
gpgi 一字一泪
gpgg 一字一珠
gpgj 一字不易
gpgi 一字不漏
gpga 一字不苟
gppj 一字之师
gpuq 一字兼金
gptq 一字千金
gpjg 一字师
gpym 一字褒贬
gplf 一字连城
gptf 一字长城
gptb 一字长蛇阵
ggtb 一季
gpub 一官半职
ggpg 一定
gpgj 一定不易
gpgt 一定不移
gppf 一定之规
ggpj 一审
gpgy 一客不烦二主
gptd 一室生春
ggpe 一家
gpgo 一家一火
gpgy 一家一计
gppw 一家之作
gppi 一家之学
gppy 一家之言
gppy 一家之计
gppt 一家之辞
gpww 一家人
gpwm 一家人五更打牙祭吃肉
gpww 一家人五更打牙祭吃肉没外人
gpfk 一家十五口
gpft 一家十五口七嘴八舌
gpbb 一家子
gppe 一家家
gpff 一家无二
gpfi 一家老小
gpvh 一寒如此
gfiq 一寸光阴一寸金
gfib 一寸光阴一寸金寸金难买寸光阴
ggcf 一对
gcgg 一对一
gccf 一对对
gcqq 一对铃铛
gcqk 一对铃铛不见空得慌见面就叮哨
ggff 一封
gtpf 一射之地
gucf 一将难求
ggih 一小
girj 一小撮
gigg 一尘不到
gigi 一尘不染
gigx 一尘不缁
gneh 一屁股坐在铡刀上
gneu 一屁股坐在铡刀上切肤之痛
ggnf 一层
gndp 一层布做的夹袄
gndj 一层布做的夹袄反正都是理里
ggnm 一届
gmgh 一山不容二虎
gmgh 一山不藏二虎
ggmq 一岁
gmdt 一岁三迁
gmvt 一岁九迁
gmgf 一岁再赦
gmff 一岁载赦
gufy 一差二误
gufq 一差二错
guuq 一差半错
gnpt 一己之私
gnpm 一己之见
ggym 一市
gmkm 一帆顺风
gmmk 一帆风顺
gggk 一带
gggk 一带一路
gypf 一席之地
gyyt 一席话
ggdt 一帮
ggmh 一幅
ggaj 一幕
gffu 一干二净
gfwq 一干人犯
ggrh 一年
grgy 一年一度
grpd 一年之计在于春
gruf 一年半载
grlt 一年四季
grrh 一年年
grxe 一年级
gygv 一床两好
gyqu 一床锦被遮盖
gyww 一应俱全
gygb 一府两院
ggya 一度
ggyw 一座
gyxn 一座皆惊
gyvi 一廉如水
ggaa 一式
gags 一式一样
gxgx 一弛一张
ggxt 一张
gxgx 一张一弛
gxkh 一张嘴巴两张皮
gxkg 一张嘴巴两张皮横说竖说都有理
gxxb 一张纸画了三个鼻子
gxxe 一张纸画了三个鼻子不要脸
gxgb 一张麦筛子
gxgh 一张麦筛子缺点多尽缺点
gxrx 一弹指顷
gtdg 一彻万融
gtni 一往情深
gtfu 一往无前
gtfu 一往直前
gtdi 一往而深
ggtv 一律
gtpa 一得之功
gtpj 一得之愚
gtpm 一得之见
gtgn 一德一心
ggny 一心
gngl 一心一力
gngt 一心一德
gngu 一心一意
gnge 一心一腹
gngy 一心一计
gngk 一心一路
gnyw 一心为公
gnfe 一心二用
gnmw 一心同体
gnma 一心同功
gnmj 一心同归
gnff 一心无二
gvgv 一忍再忍
gwpu 一念之差
gwpy 一念之误
gtdd 一息奄奄
gtid 一息尚存
gdgf 一悲一喜
ggsh 一想
gubt 一意孤行
ggnl 一愣
gdgy 一成一旅
gdgy 一成不变
gdgj 一成不易
gghk 一战
ggfa 一截
ggrn 一所
ggrt 一手
grge 一手一脚
grgk 一手一足
grql 一手包办
grrg 一手托天
grrq 一手抓泥鳅一手逗黄鳝
grri 一手抓泥鳅一手逗黄鳝两头耍滑
grwg 一手拿刺叭一手托皮球
grwr 一手拿刺叭一手托皮球又吹又拍吹吹拍拍
grwx 一手拿针一手拿线
grwp 一手拿针一手拿线望眼欲穿
gryg 一手遮天
gryf 一手遮天一手捂地
gryg 一手遮天一手捂地瞒上瞒下
ggrs 一打
grsf 一打醋二买盐
grsw 一打醋二买盐两不耽误两得其便
grdi 一扫而光
grdp 一扫而空
ggrx 一批
grrx 一批批
grpt 一技之长
ggrc 一把
grrt 一把手
grrc 一把把
grrr 一把抓
grgw 一把死拿
grif 一把汗
grag 一把芝麻撒上天
grah 一把芝麻撒上天星星点点
grqq 一把钥匙开一把锁
grqr 一把钥匙开一把锁配就的
graf 一把黄豆数着卖
gram 一把黄豆数着卖发不了大财
grgr 一报还一报
grvw 一拍即合
grqq 一拖多
ggrv 一招
grdh 一拥而上
grdt 一拥而入
ggud 一拳
ggrp 一挥
grvr 一挥九制
grdy 一挥而就
grdd 一挥而成
grff 一掊土
ggrd 一排
grrd 一排排
grvh 一接如旧
grgr 一推两搡
grtq 一掷千金
grdd 一掷百万
grqn 一揽包收
grbb 一揽子
grgs 一搭一档
grge 一搭两用
ggfc 一支
gndl 一改故辙
ggov 一数
gygw 一文不值
gygq 一文不名
gyvw 一文如命
gyqi 一文钱难倒英雄汉
gggy 一斑
gguh 一斑半点
ggpe 一斑窥豹
grrg 一斤的酒瓶装十两
grri 一斤的酒瓶装十两不多不少
grmf 一斤肉放进四两盐
grmw 一斤肉放进四两盐闲咸人
grfq 一斤霉面做个馍
grfn 一斤霉面做个馍废物点心
ggus 一新
ggyy 一方
gypw 一方之任
gydm 一方面
ggup 一旁
ggfq 一无
gfsb 一无可取
gfrb 一无所取
gfrt 一无所得
gfrd 一无所成
gfrd 一无所有
gfrf 一无所求
gfrt 一无所知
gfrc 一无所能
gfra 一无所获
gfrt 一无所长
gfru 一无所闻
gfjt 一无是处
gftt 一无长物
ggjj 一日
gjdm 一日万几
gjds 一日万机
gjdj 一日万里
gjdt 一日三复
gjdm 一日三岁
gjde 一日三月
gjdi 一日三省
gjdt 一日三秋
gjds 一日三覆
gjdh 一日三餐
gjgm 一日不见
gjgt 一日不见如隔三秋
gjpt 一日之长
gjpa 一日之雅
gjvt 一日九迁
gjtj 一日千里
gjiy 一日游
ggjg 一旦
gjgq 一旦一夕
ggjh 一早
ggjf 一时
gjdy 一时三刻
gjps 一时之权
gjpt 一时之秀
gjpt 一时之选
gjww 一时伯仲
gjif 一时兴起
gjuw 一时半会
gjuy 一时半刻
gjuj 一时半晌
gjuf 一时半霎
gjqe 一时猫脸一时豹脸
gjqy 一时猫脸一时豹脸说变就变变化无常转眼就变
gjuj 一时间
gjuh 一星半点
gjgf 一是一二是二
ggji 一晃
ggjq 一晚
gjgj 一晦一明
gjgp 一暝不视
gjfp 一暴十寒
gjfp 一曝十寒
ggma 一曲
gmbu 一曲阳关
ggee 一月
geuy 一月效应
gepa 一月穿三十双鞋
gepu 一月穿三十双鞋日日新
ggde 一有
gyff 一望无垠
gyfl 一望无边
gyfb 一望无际
gydt 一望而知
gfgq 一朝一夕
gfpw 一朝之忿
gfpk 一朝之患
gfga 一朝天子一朝臣
gfst 一朝权在手便把令来行
gscf 一木难支
ggsg 一本
gsdt 一本万利
gsgx 一本正经
ggms 一朵
gmms 一朵朵
gsit 一杆没星的秤
gsit 一杆没星的秤不知轻重
ggts 一条
gtny 一条心
gtts 一条条
gtty 一条犁沟走到底
gttu 一条犁沟走到底死不回头
gtew 一条腿的板凳
gtee 一条腿的板凳站不住脚
gttd 一条船上的难友
gtti 一条船上的难友风雨同舟同舟共济
gttf 一条街
gtul 一条道走到黑
gtuh 一条道走到黑死心眼
gtdx 一条龙
gggo 一来
gggt 一来一往
ggsg 一杯
gsgh 一板一眼
gsdh 一板三眼
gsfs 一枕南柯
gssp 一枕槐安
gsau 一枕邯郸
gsai 一枕黄梁
gsai 一枕黄粱
ggst 一枚
ggsf 一枝
gsgs 一枝一栖
gsga 一枝一节
gsps 一枝之栖
gsqt 一枝独秀
ggsw 一枪
gsry 一枪扎死杨六郎
gsrb 一枪扎死杨六郎没戏唱了
gsru 一枪打两只黄羊
gsrt 一枪打两只黄羊一举两得
gsrj 一枪打死个苍蝇
gsrr 一枪打死个苍蝇得不偿失
gglk 一架
gsbg 一柱承天
gsag 一柱擎天
ggsa 一栋
gsda 一树百获
ggsr 一株
ggsu 一样
ggsv 一根
gsgs 一根一板
gssg 一根木头劈八开
gssy 一根木头劈八开不大方
gssy 一根杠棒前后肩
gssy 一根杠棒前后肩谁也离不开谁
gssv 一根根
gssr 一根桩上拴两头牛
gssy 一根桩上拴两头牛互不相让
gssc 一根桩上拴俩驴
gssb 一根桩上拴俩驴谁也跑不了
gsoo 一根灯草点火
gson 一根灯草点火一条心
gsta 一根筷子吃莲菜用作蔬莱的藕
gsth 一根筷子吃莲菜用作蔬莱的藕专挑眼尽挑眼
gsto 一根筷子捡花生米
gstr 一根筷子捡花生米挑拨
gsey 一根肠子通到底
gseb 一根肠子通到底直性子
gsar 一根藤上结的苦瓜
gsal 一根藤上结的苦瓜苦相连
gghj 一桌
ggsi 一档
ggsy 一桩
gsgh 一桶开水烫在狗身上
gsgw 一桶开水烫在狗身上遍体鳞淋伤
gswn 一梦华胥
gsbg 一棍子打死
gsgu 一棒一条痕
ggsj 一棵
gssb 一棵树上的叶子
gsss 一棵树上的核桃
gssi 一棵树上的核桃有大有小
gssj 一棵棵
ggso 一楼
gsdy 一概而论
gssb 一榻横陈
gsdi 一榻胡涂
gspu 一槌定音
gsgs 一模一样
gsfs 一模二样
gguq 一次
gunt 一次性
ggff 一款
gghi 一步
ghgq 一步一个脚印
ghgf 一步一个脚印脚踏实地
ghgf 一步一趋
ghgr 一步一鬼
ghpe 一步之遥
ghgw 一步到位
ghwg 一步登天
ghky 一步跨进姨姐房
ghkc 一步跨进姨姐房进退两难
gggt 一死一生
ggwd 一段
gtgr 一毛不拔
gtqf 一毛钱买了一筐蒜壳
gtqb 一毛钱买了一筐蒜壳贱皮子
gygu 一毫不差
gygi 一毫不染
gnmw 一民同俗
grkd 一气呵成
grid 一气浑成
grwd 一氧化碳
gipb 一水之隔
gidi 一江春水向东流
gidn 一江春水向东流滚滚向前无穷无尽
giwl 一汽集团
gidi 一波万波
gidr 一波三折
gifb 一波才动万波随
giff 一波未平一波又起
gidj 一泻万里
gidj 一泻百里
ggir 一派
ggiy 一流
gufq 一浆十饼
gifs 一清二楚
gifr 一清二白
givi 一清如水
gigj 一渊不两蛟
ggiq 一溜
giol 一溜烟
ggic 一滩
ggiu 一滴
giiu 一滴滴
ggis 一潭
gigi 一潭死水
ggos 一灯
ggoq 一炮
gork 一炮打响
godx 一炮而红
gghk 一点
ghgi 一点一滴
ghbg 一点也不
ghuh 一点半点
ghvn 一点灵犀
gtga 一熏一莸
ggth 一片
gtmn 一片丹心
gtun 一片冰心
gtpu 一片宫商
gtai 一片散沙
gtii 一片汪洋
gtwf 一片焦土
grvq 一牛九锁
grkq 一牛鸣
grkf 一牛鸣地
gtgt 一物不知
gtbt 一物降一物
gqpr 一狐之掖
gqpe 一狐之腋
gqfq 一狠二狠
gfdw 一献三售
gfds 一献三酬
ggjw 一现昙华
gggx 一班一级
gggd 一班一辈
gguh 一班半点
gggp 一琴一鹤
ggur 一瓣
gunt 一瓣心香
ggua 一瓶
ggtg 一生
gtga 一生一世
gtgw 一生一代
gtvg 一生九死
gluv 一男半女
gggg 一画开天
ggto 一番
gtyt 一番话
gugf 一病不起
ggdj 一百
gdwp 一百个人当家
gdwr 一百个人当家不知听谁的
gdww 一百个人骂仗
gdwt 一百个人骂仗多嘴多舌
gdwu 一百个傻瓜给你磕头
gdwr 一百个傻瓜给你磕头大傻瓜
gdwx 一百个和尚念经
gdft 一百二十行
gdrq 一百斤米做稀饭
gdrg 一百斤米做稀饭难熬
gggl 一盏
gtai 一盘散沙
gtsa 一盘棋
gtsg 一盘棋下了三天
gtsr 一盘棋下了三天棋逢对手
ghpf 一目之士
ghbq 一目了然
ghgt 一目五行
ghft 一目十行
ghot 一目数行
ggfh 一直
gfng 一直以来
gsnd 一相情原
gsnd 一相情愿
ggit 一省
ghch 一眨巴眼
gghv 一眼
gugn 一着不慎
gugl 一着不慎满盘皆输
gupx 一着被蛇咬三年怕井绳
gghf 一睹
ghgp 一瞑不视
gghe 一瞬
ghvr 一瞬即逝
gtcp 一矢双穿
gtum 一知半见
gtuq 一知半解
gttq 一知片解
gdgq 一石两鸟
gdfq 一石二鸟
gdii 一石激起千层浪
gdfb 一硼地
ggdp 一碗
gdig 一碗水端平
gdri 一碗白开水
gdrk 一碗白开水淡而无味
ggda 一碟
ggdx 一碧万顷
gpft 一神教
gtdw 一秉大公
gtgw 一秉至公
gthy 一秉虔诚
ggtk 一种
ggtu 一科
ggti 一秒
gpfr 一穷二白
gpww 一空依傍
gpgc 一窍不通
gpoq 一窑烧的缸钵
gpoq 一窑烧的缸钵一色货一样的货色
ggpw 一窝
gpfe 一窝老鼠不嫌臊
gpfr 一窝老鼠不嫌臊气味相投
gpjt 一窝蜂
guaa 一站式
ggum 一端
gtgh 一笑一颦
gtbp 一笑了之
gtbg 一笑了事
gtwf 一笑倾城
gttq 一笑千金
gtdv 一笑百媚
gtlp 一笑置之
ggtt 一笔
gtqo 一笔勾断
gtqi 一笔勾消
gtqq 一笔勾销
gtrq 一笔抹杀
gtrq 一笔抹煞
ggtf 一等
gtal 一等功
gtkk 一等品
gtuq 一等奖
gtbh 一筐子鳖倒在沙滩上
gtbr 一筐子鳖倒在沙滩上滚的滚爬的爬连滚带爬
gtan 一筹莫展
ggtp 一管
gthf 一箭上垛
gtpf 一箭之地
gtpe 一箭之遥
gtcm 一箭双雕
ggty 一篇
gtty 一篇篇
gtgt 一簧两舌
ggoy 一米
ggod 一类
ggou 一粒
gobq 一粒子弹打两只鸟
gobt 一粒子弹打两只鸟一举两得
gooi 一粒米熬三碗汤
gook 一粒米熬三碗汤淡而无味
gtgq 一系列
gftl 一索得男
gfdl 一索成男
ggxe 一级
ggxq 一纸
gxpy 一纸空文
ggxg 一线
gxpk 一线之路
gxts 一线生机
ggxc 一经
ggxy 一统
gxgg 一统天下
ggxo 一缕
gxxo 一缕缕
gxgw 一缘一会
ggrm 一罐
gmnr 一网尽扫
gmrn 一网打尽
gmrq 一网打尽天下鱼
gmrg 一网打尽天下鱼想到办不到
ggvt 一群
gvkf 一群哑巴在一起
gvke 一群哑巴在一起指手画脚
gvnb 一群惊窝的耗子
gvni 一群惊窝的耗子灰溜溜的灰不溜溜
gvfn 一群老鸦朝南飞
gvfs 一群老鸦朝南飞一模一样一个样
gdfg 一而二二而一
gdfd 一而二二而三
gdiq 一而光
gdgm 一而再
gdgd 一而再再而三
gebb 一肚子
gebb 一肚子加减乘除
gebo 一肚子加减乘除心中有数
ggem 一股
geeq 一股脑儿
gega 一肢一节
geua 一肢半节
gegq 一胜一负
gemr 一脉同气
gesw 一脉相传
gesb 一脉相承
gesc 一脉相通
geto 一脉香烟
ggef 一脚
gegt 一脚不移
gekc 一脚踏上磅秤台
gekt 一脚踏上磅秤台举足轻重
gekt 一脚踏两只船
gekc 一脚踏两只船左右为难
gekj 一脚踏进云端里
gekh 一脚踏进云端里一步登天一跃而上
geks 一脚踏进刺笆林
gekt 一脚踏进刺笆林难脱身脱不了身
geki 一脚踏进稀泥凼
gekf 一脚踏进稀泥凼水坑
gekg 一脚踢不出个屁来
geky 一脚踢不出个屁来窝囊废
geky 一脚踢死个麒麟
gekm 一脚踢死个麒麟不知贵贱
ggew 一脸
ggep 一腔
gnpl 一臂之力
ggga 一至于斯
gggh 一至于此
gggc 一致
ggdh 一致百虑
ggte 一般
gtww 一般人
gtwx 一般化
gtff 一般无二
gtdy 一般而论
gtmy 一般见识
ggte 一艘
gaqy 一花独放
gast 一苇可航
gags 一草一木
gatd 一落千丈
gaga 一薰一莸
ghgi 一虎不河
gjgu 一蛇两头
gqgq 一蟹不如一蟹
ggtf 一行
gtwg 一行作吏
gygi 一衣带水
ggge 一表
ggwf 一表人才
ggws 一表人材
ggwt 一表人物
ggii 一表堂堂
ggdw 一表非俗
ggdm 一表非凡
gmbq 一见了然
gmwn 一见倾心
gmvd 一见如故
gmvh 一见如旧
gmqn 一见钟情
gpmw 一视同仁
ggjt 一览
gjwi 一览众山小
gjfw 一览无余
gjfk 一览无遗
gjge 一览表
ggqe 一角
gqgk 一觞一咏
gqvn 一触即发
gqvi 一触即溃
gygt 一言一行
gygn 一言不发
gygy 一言两语
gyfd 一言丧邦
gykr 一言中的
gyyp 一言为定
gyvh 一言九鼎
gynp 一言以蔽之
gyid 一言兴邦
gyuq 一言半句
gyuy 一言半语
gyut 一言半辞
gyip 一言堂
gyvw 一言既出驷马难追
gyap 一言蔽之
gycn 一言难尽
gytr 一试身手
ggyg 一语
gykw 一语中人
gykr 一语中的
gycu 一语双关
gydy 一语成谶
gydr 一语破的
gyud 一语道破
gygy 一误再误
ggyu 一说
gytq 一诺千金
gyft 一诺无辞
gylu 一谦四益
gwgt 一谷不升
gwgw 一谷不登
gmvi 一败如水
gmif 一败涂地
gwvi 一贫如洗
ggxf 一贯
guux 一资半级
gfbp 一走了之
ggfh 一趟
gkdg 一跃而下
gkgr 一跌不振
gkul 一跟头栽到屋外边
gkut 一跟头栽到屋外边门里出身
ggkh 一路
gkhh 一路上
gkgp 一路平安
gkpj 一路福星
gkwq 一路货色
gkkm 一路顺风
gkmi 一路风尘
gkmi 一路风清
gksm 一蹴可几
gkdy 一蹴而就
gkdt 一蹴而得
gkdd 一蹴而成
gkgi 一蹶不兴
gkgr 一蹶不振
gtgu 一身两头
gtgt 一身两役
gtfw 一身二任
gtgn 一身五心
gtje 一身是胆
gtir 一身清白
gtdw 一身而二任
gtfe 一身都是胆
glde 一车破棉胎
gldw 一车破棉胎不值钱的货
glmm 一轨同风
glhv 一转眼
gglw 一轮
glxy 一轮红日出东方
glxd 一轮红日出东方光明芷大
gglg 一辆
gdbb 一辈子
gdbv 一辈子做寡妇
gdbp 一辈子做寡妇老手守
gdbq 一辈子卖蒸馍
gdbr 一辈子卖蒸馍受不完的气
gdby 一辈子当会计
gdbt 一辈子当会计长期打算
gtml 一辞同轨
gtat 一辞莫赞
gglp 一边
glwg 一边倒
glxf 一边弦子一边大鼓
glxr 一边弦子一边大鼓你说你的我干我的
gqgt 一迎一和
gggr 一还一报
glkk 一连串
gvug 一退六二五
ggce 一通
gcdc 一通百通
ggut 一道
grpe 一邱之貉
gguk 一部
gtgr 一重一掩
gqgx 一针一线
gqmt 一针见血
gqgw 一钱不值
gqgq 一钱不名
gqgf 一钱不落虚空地
