uxyi 北京
auxn 邯郸经济技术开发
auua 邯郸冀南新区
auuu 邯郸冀南新
gpym 武安市
gapv 武安
gack 邢台
gcym 邢台市
yfaq 襄都区
ykft 襄都
wfaq 信都区
wyft 信都
wiaq 任泽区
wtic 任泽
ftaq 南和区
fmtk 南和
jfeg 临城县
jtfd 临城
mreg 内丘县
mwrg 内丘
sxeg 柏乡县
srxt 柏乡
baeg 隆尧县
btat 隆尧
pgeg 宁晋县
psgo 宁晋
ayeg 巨鹿县
anyn 巨鹿
uieg 新河县
usis 新河
ypeg 广宗县
yypf 广宗
gxeg 平乡县
guxt 平乡
dgeg 威县
iieg 清河县
igis 清河
jseg 临西县
jtsg 临西
iuga 河北邢台经济开发区
iugn 河北邢台经济开发
fpym 南宫市
fmpk 南宫
iiym 沙河市
iiis 沙河
wkpg 保定
wpym 保定市
utaq 竞秀区
ukte 竞秀
aiaq 莲池区
alib 莲池
ifaq 满城区
iafd 满城
iaaq 清苑区
igaq 清苑
tiaq 徐水区
twii 徐水
iieg 涞水县
igii 涞水
wgeg 阜平县
wngu 阜平
pieg 定兴县
pgiw 定兴
yveg 唐县
ybeg 高阳县
ymbj 高阳
pfeg 容城县
pwfd 容城
iieg 涞源县
igid 涞源
yfeg 望都县
ynft 望都
pueg 安新县
pvus 安新
jqeg 易县
mbeg 曲阳县
mabj 曲阳
xeeg 蠡县
kgeg 顺平县
kdgu 顺平
fjeg 博野县
fgjf 博野
dceg 雄县
wpya 保定高新技术产业开发区
wpyn 保定高新技术产业开发
wprf 保定白沟新城
iyym 涿州市
ieyt 涿州
pyym 定州市
pgyt 定州
plym 安国市
pvlg 安国
ydyy 高碑店市
ydyh 高碑店
xpkk 张家口
xpky 张家口市
saaq 桥东区
stai 桥东
pwaq 宣化区
pgwx 宣化
gala 下花园区
galf 下花园
dwaq 万全区
dnwg 万全
mpaq 崇礼区
mppy 崇礼
xueg 张北县
xtux 张北
yweg 康保县
yvwk 康保
iieg 沽源县
idid 沽源
iyeg 尚义县
imyq 尚义
aneg 蔚县
bdeg 阳原县
bjdr 阳原
npeg 怀安县
ngpv 怀安
ngeg 怀来县
nggo 怀来
iyeg 涿鹿县
ieyn 涿鹿
ffeg 赤城县
fofd 赤城
xpka 张家口经济开发区
xpkn 张家口经济开发
xpka 张家口市察北管理区
xpkg 张家口察北管理
xpka 张家口市塞北管理区
xpkg 张家口塞北管理
bdtf 承德
btym 承德市
csaq 双桥区
ccst 双桥
ciaq 双滦区
cciy 双滦
yraa 鹰手营子矿区
yrad 鹰手营子矿
bteg 承德县
ibeg 兴隆县
iwbt 兴隆
igeg 滦平县
iygu 滦平
bweg 隆化县
btwx 隆化
dpie 丰宁满族自治县
dpii 丰宁满族自治
pfie 宽城满族自治县
pfii 宽城满族自治
lfie 围场满族蒙古族自治县
lfii 围场满族蒙古族自治
btya 承德高新技术产业开发区
btyn 承德高新技术产业开发
grym 平泉市
guri 平泉
iwyt 沧州
iyym 沧州市
fiaq 运河区
fcis 运河
iweg 沧县
geeg 青县
aieg 东光县
aiiq 东光
iieg 海兴县
itiw 海兴
fmeg 盐山县
fhmm 盐山
vpeg 肃宁县
vips 肃宁
fheg 南皮县
fmhc 南皮
kseg 吴桥县
kgst 吴桥
fmeg 献县
bsle 孟村回族自治县
bsli 孟村回族自治
iuia 河北沧州经济开发区
iuin 河北沧州经济开发
iyya 沧州高新技术产业开发区
iyyn 沧州高新技术产业开发
iyia 沧州渤海新区
iyiu 沧州渤海新
iuym 泊头市
irud 泊头
wrym 任丘市
wtrg 任丘
acym 黄骅市
amcw 黄骅
iuym 河间市
isuj 河间
yyfy 廊坊
yfym 廊坊市
puaq 安次区
pvuq 安次
ybaq 广阳区
yybj 广阳
lpeg 固安县
ldpv 固安
yieg 永清县
ynig 永清
tieg 香河县
tjis 香河
dfeg 大城县
ddfd 大城
ypeg 文安县
yypv 文安
ddle 大厂回族自治县
ddli 大厂回族自治
yfxa 廊坊经济技术开发区
yfxn 廊坊经济技术开发
fyym 霸州市
fayt 霸州
diym 三河市
dgis 三河
tqii 衡水
tiym 衡水市
sfaq 桃城区
sifd 桃城
uyaq 冀州区
uxyt 冀州
gxeg 枣强县
gmxk 枣强
gkeg 武邑县
gakc 武邑
gxeg 武强县
gaxk 武强
qbeg 饶阳县
qnbj 饶阳
pgeg 安平县
pvgu 安平
dfeg 故城县
dtfd 故城
jyeg 景县
wfeg 阜城县
wnfd 阜城
iuta 河北衡水高新技术产业开发区
iutn 河北衡水高新技术产业开发
tiia 衡水滨湖新区
tiiu 衡水滨湖新
iyym 深州市
ipyt 深州
mmsg 山西
msit 山西省
dydr 太原
ddym 太原市
iyaq 小店区
ihyh 小店
qiaq 迎泽区
qbic 迎泽
sama 杏花岭区
samw 杏花岭
iafa 尖草坪区
iafg 尖草坪
dssa 万柏林区
dsss 万柏林
giaq 晋源区
goid 晋源
iteg 清徐县
igtw 清徐
bmeg 阳曲县
bjma 阳曲
ooeg 娄烦县
ovod 娄烦
msla 山西转型综合改革示范区
msla 山西转型综合改革示范
duym 古交市
dguq 古交
ddmg 大同
dmym 大同市
uaaq 新荣区
usap 新荣
gfaq 平城区
gufd 平城
fmaq 云冈区
fcmq 云冈
fyaq 云州区
fcyt 云州
byeg 阳高县
bjym 阳高
gqeg 天镇县
gdqf 天镇
yveg 广灵县
yyvo 广灵
vreg 灵丘县
vorg 灵丘
iieg 浑源县
ipid 浑源
dfeg 左云县
dafc 左云
msda 山西大同经济开发区
msdn 山西大同经济开发
bjri 阳泉
brym 阳泉市
fdaq 城区
dyaq 矿区
uqaq 郊区
gpeg 平定县
gupg 平定
gfeg 盂县
taic 长治
tiym 长治市
iyaq 潞州区
ikyt 潞州
hiaq 上党区
hhip 上党
gqaq 屯留区
gbqy 屯留
ifaq 潞城区
ikfd 潞城
yfeg 襄垣县
ykfg 襄垣
gkeg 平顺县
gukd 平顺
tfeg 黎城县
tqfd 黎城
fueg 壶关县
fpud 壶关
tbeg 长子县
tabb 长子
gxeg 武乡县
gaxt 武乡
ineg 沁县
iieg 沁源县
inid 沁源
gofd 晋城
gfym 晋城市
iieg 沁水县
inii 沁水
bfeg 阳城县
bjfd 阳城
bkeg 陵川县
bfkt 陵川
iyeg 泽州县
icyt 泽州
ygym 高平市
ymgu 高平
ubyt 朔州
uyym 朔州市
ufaq 朔城区
ubfd 朔城
gqaq 平鲁区
guqg 平鲁
mbeg 山阴县
mmbe 山阴
yieg 应县
dgeg 右玉县
dkgy 右玉
msua 山西朔州经济开发区
msun 山西朔州经济开发
nwym 怀仁市
ngwf 怀仁
gokh 晋中
gkym 晋中市
suaq 榆次区
swuq 榆次
dwaq 太谷区
dyww 太谷
speg 榆社县
swpy 榆社
dseg 左权县
dasc 左权
tkeg 和顺县
tkkd 和顺
abeg 昔阳县
ajbj 昔阳
dbeg 寿阳县
dtbj 寿阳
pyeg 祁县
geeg 平遥县
guer 平遥
vdeg 灵石县
vodg 灵石
wwym 介休市
wjws 介休
fcfd 运城
ffym 运城市
fiaq 盐湖区
fhid 盐湖
jqeg 临猗县
jtqt 临猗
daeg 万荣县
dnap 万荣
ufeg 闻喜县
ubfk 闻喜
tmeg 稷山县
tlmm 稷山
uxeg 新绛县
usxt 新绛
xteg 绛县
fmeg 垣曲县
fgma 垣曲
dheg 夏县
gbeg 平陆县
gubf 平陆
afeg 芮城县
amfd 芮城
yiym 永济市
yniy 永济
iiym 河津市
isiv 河津
nryt 忻州
nyym 忻州市
nyaq 忻府区
nryw 忻府
pyeg 定襄县
pgyk 定襄
gceg 五台县
ggck 五台
waeg 代县
tmeg 繁峙县
txmf 繁峙
pgeg 宁武县
psga 宁武
gqeg 静乐县
geqi 静乐
pieg 神池县
pyib 神池
gpeg 五寨县
ggpf 五寨
mmeg 岢岚县
msmm 岢岚
imeg 河曲县
isma 河曲
wteg 保德县
wktf 保德
wueg 偏关县
wyud 偏关
gcma 五台山风景名胜区
gcme 五台山风景名胜
dgym 原平市
drgu 原平
jtiw 临汾
jiym 临汾市
afaq 尧都区
atft 尧都
mieg 曲沃县
mait 曲沃
nfeg 翼城县
nlfd 翼城
yieg 襄汾县
ykiw 襄汾
iieg 洪洞县
iaim 洪洞
dgeg 古县
pieg 安泽县
pvic 安泽
imeg 浮山县
iemm 浮山
fkeg 吉县
xpeg 乡宁县
xtps 乡宁
dpeg 大宁县
ddps 大宁
bjeg 隰县
yteg 永和县
yntk 永和
aieg 蒲县
iseg 汾西县
iwsg 汾西
wcym 侯马市
wncn 侯马
fyym 霍州市
fwyt 霍州
kkiv 吕梁
kiym 吕梁市
ydaq 离石区
ybdg 离石
yieg 文水县
yyii 文水
ufeg 交城县
uqfd 交城
iweg 兴县
jteg 临县
sseg 柳林县
sqss 柳林
dseg 石楼县
dgso 石楼
mmeg 岚县
ymeg 方山县
yymm 方山
kbeg 中阳县
khbj 中阳
ukeg 交口县
uqkk 交口
fyym 孝义市
ftyq 孝义
ibym 汾阳市
iwbj 汾阳
madg 内蒙古
mada 内蒙古自治区
ktit 呼和浩特
ktiy 呼和浩特市
ufaq 新城区
usfd 新城
lnaq 回民区
lkna 回民
graq 玉泉区
gyri 玉泉
ppaq 赛罕区
pfpw 赛罕
flty 土默特左旗
fltd 土默特左
rdre 托克托县
rdrt 托克托
tsse 和林格尔县
tssq 和林格尔
iiie 清水河县
iiis 清水河
gkeg 武川县
gakt 武川
ktia 呼和浩特经济技术开发区
ktin 呼和浩特经济技术开发
qnud 包头
quym 包头市
aiaq 东河区
aiis 东河
jfwa 昆都仑区
jfwx 昆都仑
gmaq 青山区
gemm 青山
draq 石拐区
dgrk 石拐
rfka 白云鄂博矿区
rfkd 白云鄂博矿
vdaq 九原区
vtdr 九原
flty 土默特右旗
fltd 土默特右
lbeg 固阳县
ldbj 固阳
dqpy 达尔罕茂明安联合旗
dqpw 达尔罕茂明安联合
quta 包头稀土高新技术产业开发区
qutn 包头稀土高新技术产业开发
qnit 乌海
qiym 乌海市
ifia 海勃湾区
ifiy 海勃湾
ifaq 海南区
itfm 海南
qdaq 乌达区
qndp 乌达
fomt 赤峰
fmym 赤峰市
xmaq 红山区
xamm 红山
fpma 元宝山区
fpmm 元宝山
smaq 松山区
swmm 松山
bqty 阿鲁科尔沁旗
bqti 阿鲁科尔沁
csdy 巴林左旗
csda 巴林左
csdy 巴林右旗
csdk 巴林右
sseg 林西县
sssg 林西
dwdy 克什克腾旗
dwde 克什克腾
wrty 翁牛特旗
wrtr 翁牛特
kkiy 喀喇沁旗
kkin 喀喇沁
pfeg 宁城县
psfd 宁城
giyt 敖汉旗
gqic 敖汉
cebp 通辽
cbym 通辽市
tqia 科尔沁区
tqin 科尔沁
tqiy 科尔沁左翼中旗
tqik 科尔沁左翼中
tqiy 科尔沁左翼后旗
tqir 科尔沁左翼后
gqeg 开鲁县
gaqg 开鲁
ywyt 库伦旗
ylww 库伦
djyt 奈曼旗
dfjl 奈曼
rqty 扎鲁特旗
rqtr 扎鲁特
cbxa 通辽经济技术开发区
cbxn 通辽经济技术开发
fsyy 霍林郭勒市
fsya 霍林郭勒
kqqa 鄂尔多斯
kqqy 鄂尔多斯市
aeaq 东胜区
aiet 东胜
ycwa 康巴什区
ycwf 康巴什
drty 达拉特旗
drtr 达拉特
usqy 准格尔旗
usqi 准格尔
krdy 鄂托克前旗
krdu 鄂托克前
krdy 鄂托克旗
krdq 鄂托克
sqyt 杭锦旗
syqr 杭锦
qpyt 乌审旗
qnpj 乌审
wqfy 伊金霍洛旗
wqfi 伊金霍洛
kwmq 呼伦贝尔
kwmy 呼伦贝尔市
irqa 海拉尔区
irqi 海拉尔
rgya 扎赉诺尔区
rgyq 扎赉诺尔
bayt 阿荣旗
bsap 阿荣
aldy 莫力达瓦达斡尔族自治旗
aldi 莫力达瓦达斡尔族自治
kwdy 鄂伦春自治旗
kwdi 鄂伦春自治
kidy 鄂温克族自治旗
kidi 鄂温克族自治
bcqy 陈巴尔虎旗
bcqh 陈巴尔虎
ucqy 新巴尔虎左旗
ucqd 新巴尔虎左
ucqy 新巴尔虎右旗
ucqd 新巴尔虎右
iijy 满洲里市
iijf 满洲里
addy 牙克石市
addg 牙克石
rugy 扎兰屯市
rugb 扎兰屯
pqdy 额尔古纳市
pqdx 额尔古纳
siym 根河市
svis 根河
cuiq 巴彦淖尔
cuiy 巴彦淖尔市
jiaq 临河区
jtis 临河
gdeg 五原县
ggdr 五原
dkeg 磴口县
dwkk 磴口
qrty 乌拉特前旗
qrtu 乌拉特前
qrty 乌拉特中旗
qrtk 乌拉特中
qrty 乌拉特后旗
qrtr 乌拉特后
sqry 杭锦后旗
sqrg 杭锦后
qupd 乌兰察布
qupy 乌兰察布市
wpaq 集宁区
wyps 集宁
hueg 卓资县
hjuq 卓资
wteg 化德县
wxtf 化德
ufeg 商都县
umft 商都
iteg 兴和县
iwtk 兴和
ufeg 凉城县
uyfd 凉城
pkqy 察哈尔右翼前旗
pkqu 察哈尔右翼前
pkqy 察哈尔右翼中旗
pkqk 察哈尔右翼中
pkqy 察哈尔右翼后旗
pkqr 察哈尔右翼后
lbgy 四子王旗
lbgg 四子王
dqym 丰镇市
dhqf 丰镇
iwpv 兴安
ipje 兴安盟
quiy 乌兰浩特市
quit 乌兰浩特
bqmy 阿尔山市
bqmm 阿尔山
tqiy 科尔沁右翼前旗
tqiu 科尔沁右翼前
tqiy 科尔沁右翼中旗
tqik 科尔沁右翼中
rgty 扎赉特旗
rgtr 扎赉特
preg 突泉县
pwri 突泉
qsya 锡林郭勒
qsyj 锡林郭勒盟
fliy 二连浩特市
flit 二连浩特
qsiy 锡林浩特市
qsit 锡林浩特
bcky 阿巴嘎旗
bckd 阿巴嘎
anty 苏尼特左旗
antd 苏尼特左
anty 苏尼特右旗
antd 苏尼特右
aqgy 东乌珠穆沁旗
aqgi 东乌珠穆沁
sqgy 西乌珠穆沁旗
sqgi 西乌珠穆沁
dwfy 太仆寺旗
dwff 太仆寺
qayt 镶黄旗
qyam 镶黄
gqry 正镶白旗
gqrr 正镶白
gayt 正蓝旗
ghaj 正蓝
qweg 多伦县
qqww 多伦
qruw 乌拉盖管理区管委会
qruw 乌拉盖管理管委会
brud 阿拉善
bruj 阿拉善盟
bruy 阿拉善左旗
brud 阿拉善左
bruy 阿拉善右旗
brud 阿拉善右
pixy 额济纳旗
pixm 额济纳
mada 内蒙古阿拉善高新技术产业开发区
madn 内蒙古阿拉善高新技术产业开发
bpps 辽宁
bpit 辽宁省
ipbj 沈阳
ibym 沈阳市
iiaq 沈河区
ipis 沈河
daaq 大东区
ddai 大东
rvaq 皇姑区
rgvd 皇姑
qsaq 铁西区
qrsg 铁西
apga 苏家屯区
apgb 苏家屯
ifaq 浑南区
ipfm 浑南
iuua 沈北新区
iuus 沈北新
giaq 于洪区
gfia 于洪
bkaq 辽中区
bpkh 辽中
ygeg 康平县
yvgu 康平
iyeg 法库县
ifyl 法库
unym 新民市
usna 新民
ddlp 大连
dlym 大连市
kmaq 中山区
khmm 中山
smaq 西岗区
sgmm 西岗
iika 沙河口区
iikk 沙河口
afba 甘井子区
afbb 甘井子
ykka 旅顺口区
ykkk 旅顺口
qyaq 金州区
qqyt 金州
uuya 普兰店区
uuyh 普兰店
tieg 长海县
tait 长海
gyyy 瓦房店市
gyyh 瓦房店
yiym 庄河市
yfis 庄河
afmm 鞍山
amym 鞍山市
qaaq 铁东区
qrai 铁东
umaq 立山区
uumm 立山
tmaq 千山区
tfmm 千山
cpeg 台安县
ckpv 台安
mmie 岫岩满族自治县
mmii 岫岩满族自治
ifym 海城市
itfd 海城
rfkd 抚顺
rkym 抚顺市
uraq 新抚区
usrf 新抚
aiaq 东洲区
aiiy 东洲
yaaq 望花区
ynaw 望花
kfaq 顺城区
kdfd 顺城
rkeg 抚顺县
upie 新宾满族自治县
upii 新宾满族自治
idie 清原满族自治县
idii 清原满族自治
sgie 本溪
siym 本溪市
gmaq 平山区
iiaq 溪湖区
ieid 溪湖
jmaq 明山区
jemm 明山
faaq 南芬区
fmaw 南芬
siie 本溪满族自治县
siii 本溪满族自治
swie 桓仁满族自治县
swii 桓仁满族自治
myai 丹东
maym 丹东市
fpaq 元宝区
fqpg 元宝
riaq 振兴区
rdiw 振兴
rpaq 振安区
rdpv 振安
pqie 宽甸满族自治县
pqii 宽甸满族自治
aiym 东港市
aiia 东港
mfym 凤城市
mcfd 凤城
qryt 锦州
qyym 锦州市
dfaq 古塔区
dgfa 古塔
uiaq 凌河区
ufis 凌河
dtaq 太和区
dytk 太和
lmeg 黑山县
lfmm 黑山
yqeg 义县
uiym 凌海市
ufit 凌海
uqym 北镇市
uxqf 北镇
apkk 营口
akym 营口市
uuaq 站前区
uhue 站前
syaq 西市区
qqla 鲅鱼圈区
qqlu 鲅鱼圈
flaq 老边区
ftlp 老边
uyym 盖州市
ugyt 盖州
ddsy 大石桥市
ddst 大石桥
wnus 阜新
wuym 阜新市
iyaq 海州区
ityt 海州
uraq 新邱区
usrg 新邱
dgaq 太平区
dygu 太平
iiua 清河门区
iiuy 清河门
xiaq 细河区
xlis 细河
wuae 阜新蒙古族自治县
wuai 阜新蒙古族自治
ugeg 彰武县
ujga 彰武
bpbj 辽阳
bbym 辽阳市
rfaq 白塔区
rrfa 白塔
ycaq 文圣区
yycf 文圣
pwaq 宏伟区
pdwf 宏伟
xtma 弓长岭区
xtmw 弓长岭
dbia 太子河区
dbis 太子河
bbeg 辽阳县
ofym 灯塔市
osfa 灯塔
teqr 盘锦
tqym 盘锦市
ccba 双台子区
ccbb 双台子
ibca 兴隆台区
ibck 兴隆台
diaq 大洼区
ddif 大洼
tmeg 盘山县
temm 盘山
qrmw 铁岭
qmym 铁岭市
qyaq 银州区
qvyt 银州
iiaq 清河区
qmeg 铁岭县
sdeg 西丰县
sgdh 西丰
jleg 昌图县
jjlt 昌图
yrmy 调兵山市
yrmm 调兵山
gdym 开原市
gadr 开原
fbym 朝阳市
cfaq 双塔区
ccfa 双塔
dfaq 龙城区
dxfd 龙城
fbeg 朝阳县
vgeg 建平县
vfgu 建平
kkie 喀喇沁左翼蒙古族自治县
kkii 喀喇沁左翼蒙古族自治
usym 北票市
uxsf 北票
uiym 凌源市
ufid 凌源
aaqy 葫芦岛
aaqy 葫芦岛市
lmaq 连山区
lpmm 连山
diaq 龙港区
dxia 龙港
fsaq 南票区
fmsf 南票
xkeg 绥中县
xekh 绥中
vjeg 建昌县
vfjj 建昌
ifym 兴城市
iwfd 兴城
fkss 吉林
fsit 吉林省
tadw 长春
tdym 长春市
fuaq 南关区
fmud 南关
pfaq 宽城区
pafd 宽城
fuaq 二道区
fgut 二道
xlaq 绿园区
xvlf 绿园
cbaq 双阳区
ccbj 双阳
vcaq 九台区
vtck 九台
ppeg 农安县
pepv 农安
tdxa 长春经济技术开发区
tdxn 长春经济技术开发
tdua 长春净月高新技术产业开发区
tdun 长春净月高新技术产业开发
tdya 长春高新技术产业开发区
tdyn 长春高新技术产业开发
tdia 长春汽车经济技术开发区
tdin 长春汽车经济技术开发
ssym 榆树市
swsc 榆树
tgym 德惠市
tfgj 德惠
wymy 公主岭市
wymw 公主岭
fsym 吉林市
jkaq 昌邑区
jjkc 昌邑
diaq 龙潭区
dxis 龙潭
taaq 船营区
teap 船营
diaq 丰满区
dhia 丰满
yfeg 永吉县
ynfk 永吉
fsxa 吉林经济开发区
fsxn 吉林经济开发
fsya 吉林高新技术产业开发区
fsyn 吉林高新技术产业开发
fska 吉林中国新加坡食品区
fskk 吉林中国新加坡食品
jiym 蛟河市
juis 蛟河
sqym 桦甸市
swql 桦甸
wuym 舒兰市
wfuf 舒兰
tdym 磐石市
tedg 磐石
lhgu 四平
lgym 四平市
tseg 梨树县
tjsc 梨树
wcie 伊通满族自治县
wcii 伊通满族自治
cbym 双辽市
ccbp 双辽
bpid 辽源
biym 辽源市
dmaq 龙山区
dxmm 龙山
spaq 西安区
sgpv 西安
adeg 东丰县
aidh 东丰
abeg 东辽县
aibp 东辽
cewx 通化
cwym 通化市
ajaq 东昌区
aijj 东昌
fuia 二道江区
fuia 二道江
cweg 通化县
ifeg 辉南县
iqfm 辉南
sieg 柳河县
sqis 柳河
siky 梅河口市
sikk 梅河口
wpym 集安市
wypv 集安
rrmm 白山
rmym 白山市
iiaq 浑江区
ipia 浑江
iiaq 江源区
iaid 江源
rseg 抚松县
rfsw 抚松
upeg 靖宇县
ugpg 靖宇
trfe 长白朝鲜族自治县
trfi 长白朝鲜族自治
jiym 临江市
jtia 临江
swdr 松原
sdym 松原市
piaq 宁江区
psia 宁江
uyqe 前郭尔罗斯蒙古族自治县
uyqi 前郭尔罗斯蒙古族自治
tmeg 长岭县
tamw 长岭
fpeg 乾安县
fjpv 乾安
fssa 吉林松原经济开发区
fssn 吉林松原经济开发
rwym 扶余市
rfwt 扶余
rrfd 白城
rfym 白城市
iuaq 洮北区
iiux 洮北
qgeg 镇赉县
qfgo 镇赉
cseg 通榆县
cesw 通榆
fsra 吉林白城经济开发区
fsrn 吉林白城经济开发
ifym 洮南市
iifm 洮南
dpym 大安市
ddpv 大安
tlfy 延边朝鲜族
tlfy 延边朝鲜族自治州
tfym 延吉市
thfk 延吉
lwym 图们市
ltwu 图们
ywym 敦化市
ybwx 敦化
gdym 珲春市
gpdw 珲春
dfym 龙井市
dxfj 龙井
tdym 和龙市
tkdx 和龙
iieg 汪清县
igig 汪清
pleg 安图县
pvlt 安图
ldia 黑龙江
ldii 黑龙江省
kqip 哈尔滨
kqiy 哈尔滨市
ujaq 道里区
utjf 道里
fmaq 南岗区
fmmm 南岗
uqaq 道外区
utqh 道外
gyaq 平房区
guyn 平房
suaq 松北区
swux 松北
tfaq 香坊区
tjfy 香坊
kuaq 呼兰区
ktuf 呼兰
bfaq 阿城区
bsfd 阿城
cfaq 双城区
ccfd 双城
wueg 依兰县
wyuf 依兰
ygeg 方正县
yygh 方正
preg 宾县
cueg 巴彦县
cnut 巴彦
sueg 木兰县
ssuf 木兰
cieg 通河县
ceis 通河
tdeg 延寿县
thdt 延寿
ifym 尚志市
imfn 尚志
giym 五常市
ggip 五常
yykq 齐齐哈尔
yyky 齐齐哈尔市
diaq 龙沙区
dxii 龙沙
vwaq 建华区
vfwx 建华
qqaq 铁锋区
qrqt 铁锋
jjia 昂昂溪区
jjie 昂昂溪
prqa 富拉尔基区
prqa 富拉尔基
dbma 碾子山区
dbmm 碾子山
sjaa 梅里斯达斡尔族区
sjay 梅里斯达斡尔族
dieg 龙江县
dxia 龙江
wpeg 依安县
wypv 依安
dgeg 泰来县
dwgo 泰来
afeg 甘南县
affm 甘南
ppeg 富裕县
pgpu 富裕
dmeg 克山县
dqmm 克山
daeg 克东县
dqai 克东
rreg 拜泉县
rdri 拜泉
yiym 讷河市
ymis 讷河
cqsg 鸡西
csym 鸡西市
cpaq 鸡冠区
cqpf 鸡冠
nmaq 恒山区
ngmm 恒山
iuaq 滴道区
iuut 滴道
tsaq 梨树区
fbia 城子河区
fbis 城子河
ymaq 麻山区
ysmm 麻山
caeg 鸡东县
cqai 鸡东
hsym 虎林市
hass 虎林
pmym 密山市
pnmm 密山
pwmm 鹤岗
pmym 鹤岗市
tbaq 向阳区
tmbj 向阳
apaq 工农区
aape 工农
fmaq 南山区
fmmm 南山
ipaq 兴安区
amaq 东山区
aimm 东山
imaq 兴山区
iwmm 兴山
aueg 萝北县
alux 萝北
xieg 绥滨县
xeip 绥滨
clmm 双鸭山
clmy 双鸭山市
imaq 尖山区
idmm 尖山
maaq 岭东区
mwai 岭东
lyca 四方台区
lyck 四方台
pmaq 宝山区
pgmm 宝山
wjeg 集贤县
wyjc 集贤
dyeg 友谊县
dcyp 友谊
pieg 宝清县
pgig 宝清
qieg 饶河县
qnis 饶河
